x,y,z,,latitude ,Longitude,elevation
-19.09431575,-25.32061849,5.78213465,1,36.01755845,-115.0832427,686.1517033
-9.88950927,-0.2624204,-0.92349226,1,36.01752893,-115.0829601,686.1517033
21.52768583,17.57006876,-2.26844151,1,36.01725356,-115.0827685,686.1517033
23.43061836,-1.17874425,-1.36626699,1,36.01722806,-115.0829583,686.1517033
