Label,PointNum,Distance,Area
4,101,35.2622140041536,7.9119287
2,56,30.723666910791287,0.6562238
2,56,30.55772883303854,0.9199019
2,61,30.400419267452715,0.8667461
2,63,30.23134674963618,0.65386593
2,58,30.060582231151,0.7435925
2,60,29.91835361361118,0.9021006
2,58,29.721415043832394,0.78469104
2,62,29.54189193657608,0.5542382
2,58,29.39123397078945,0.63990027
2,61,29.21190231384497,0.8334934
2,64,29.045943345337946,0.7299576
2,61,28.86807186993316,0.76989937
2,63,28.717549908176444,0.8545795
2,61,28.525441973476863,0.8248735
2,65,28.3560996635007,0.60215956
2,65,28.199687573627216,0.82398957
2,59,28.034029612327977,0.62039703
2,65,27.86839509882956,0.7916075
2,69,27.69834579334735,1.1233335
2,68,27.539865237584074,0.7713082
2,64,27.37130985056087,0.779784
2,73,27.185741957078836,0.7914485
2,69,27.02388592456148,1.3119019
2,71,26.84574120636553,0.76226234
2,75,26.69700819497126,0.5364789
2,73,26.53429266199084,0.66863036
2,72,26.37459613577121,0.8410391
2,73,26.20025431171579,0.91359884
2,75,26.02702590164363,1.7209381
2,75,25.87251057427541,0.6594322
2,80,25.705808998115685,1.4664409
2,72,25.537462480010838,0.8967296
2,72,25.359883916687593,0.9239117
2,81,25.20354686571154,0.69755226
2,83,25.046252014104166,0.6374936
2,82,24.884013170171492,0.7296006
2,87,24.71835939427055,1.6735619
2,83,24.554618723112238,0.8451301
2,90,24.42218022722913,2.512228
2,90,24.23418599048643,1.8173962
2,96,24.05535016447605,1.0739396
2,87,23.884948309286475,1.0907897
2,85,23.70741604207779,0.99494135
2,82,23.55547559731504,0.5013798
2,95,23.396479974979073,0.59505683
2,85,23.234587333603436,0.88653326
2,81,23.069055773515423,1.0454302
2,87,22.89459322638508,0.9751746
2,90,22.736603402992987,0.88168573
2,94,22.563702354270013,0.54247504
2,88,22.406931776041596,0.7705121
2,89,22.226817087603024,0.969814
2,93,22.045030907413278,0.6693448
2,94,21.883264674615077,0.40097585
2,98,21.722483395316342,0.56069225
2,95,21.5670716636809,0.84979355
2,89,21.3995067028084,0.9251044
2,98,21.218893660706595,0.72070855
2,98,21.05964555681166,0.51010185
2,106,20.903945178165877,0.82543194
2,102,20.72869344777715,0.9461086
2,102,20.547960014389144,0.9623152
2,108,20.392668954052958,0.7362541
2,111,20.244848343194118,0.555318
2,111,20.08636137455984,0.8445292
2,97,19.916942254393128,1.0251901
2,93,19.760182857679055,1.2681216
2,100,19.598240137852216,0.84681386
2,111,19.432883350346806,0.511412
2,106,19.277085040343472,0.772515
2,91,19.08736799700538,0.773838
2,98,18.90887916744857,0.80560786
2,104,18.77522172462527,0.5963037
2,107,18.61647076890835,0.56345236
2,107,18.455854219754894,0.76961595
2,101,18.297418261864397,0.98645097
2,107,18.128188939194548,0.70704913
2,101,17.977694620632565,0.6705256
2,112,17.82806226223582,0.5207311
2,110,17.660859957848643,0.7959928
2,95,17.496455979556973,0.80002004
2,89,17.334478494529527,0.6742788
2,105,17.179824593623728,0.5894676
2,106,17.020377413315842,0.57081026
2,97,16.87692193112733,0.7815781
2,94,16.711940863215037,0.80889124
2,98,16.538949069699626,0.56567454
2,105,16.388088947925212,0.46033365
2,105,16.25204353670437,0.56644857
2,99,16.101025271996548,0.7157268
2,86,15.949099744230882,0.7819659
2,85,15.77322655800254,0.5970797
2,99,15.623742939170683,0.5633643
2,103,15.466996889020566,0.47989446
2,95,15.311977658082641,0.62806416
2,91,15.172311587742287,0.49967968
2,96,15.015353478268622,0.9503183
2,92,14.877926504769958,0.67562777
